ping_number,timestamp,latitude,longitude,heading,speed_knots,altitude,depth,slant_range,cable_out
0,2024-01-15T10:00:00+00:00,27.800001308515963,-82.49999852075051,45.2825146214042,4.0,15.0,2.0,150.0,50.0
1,2024-01-15T10:00:00.100000+00:00,27.800002617031925,-82.49999704150099,44.58102656858966,4.0,15.0,2.0,150.0,50.0
2,2024-01-15T10:00:00.200000+00:00,27.800003925547887,-82.49999556225146,44.79608566557648,4.0,15.0,2.0,150.0,50.0
3,2024-01-15T10:00:00.300000+00:00,27.80000523406385,-82.49999408300191,45.1111510702382,4.0,15.0,2.0,150.0,50.0
4,2024-01-15T10:00:00.400000+00:00,27.800006542579812,-82.49999260375235,44.69509533174358,4.0,15.0,2.0,150.0,50.0
5,2024-01-15T10:00:00.500000+00:00,27.800007851095774,-82.49999112450276,44.97836399316448,4.0,15.0,2.0,150.0,50.0
6,2024-01-15T10:00:00.600000+00:00,27.800009159611736,-82.49998964525315,45.053758946182455,4.0,15.0,2.0,150.0,50.0
7,2024-01-15T10:00:00.700000+00:00,27.8000104681277,-82.49998816600353,44.7506702354187,4.0,15.0,2.0,150.0,50.0
8,2024-01-15T10:00:00.800000+00:00,27.80001177664366,-82.4999866867539,44.607288790662196,4.0,15.0,2.0,150.0,50.0
9,2024-01-15T10:00:00.900000+00:00,27.800013085159623,-82.49998520750424,45.05816632237473,4.0,15.0,2.0,150.0,50.0
10,2024-01-15T10:00:01+00:00,27.800014393675585,-82.49998372825456,45.29797491106056,4.0,15.0,2.0,150.0,50.0
11,2024-01-15T10:00:01.100000+00:00,27.800015702191548,-82.49998224900487,44.80590551083575,4.0,15.0,2.0,150.0,50.0
12,2024-01-15T10:00:01.200000+00:00,27.80001701070751,-82.49998076975517,44.8998996048613,4.0,15.0,2.0,150.0,50.0
13,2024-01-15T10:00:01.300000+00:00,27.800018319223472,-82.49997929050544,45.4937015281748,4.0,15.0,2.0,150.0,50.0
14,2024-01-15T10:00:01.400000+00:00,27.800019627739434,-82.49997781125569,44.83233307024552,4.0,15.0,2.0,150.0,50.0
15,2024-01-15T10:00:01.500000+00:00,27.800020936255397,-82.49997633200593,44.845753001084184,4.0,15.0,2.0,150.0,50.0
16,2024-01-15T10:00:01.600000+00:00,27.80002224477136,-82.49997485275615,45.72123579968957,4.0,15.0,2.0,150.0,50.0
17,2024-01-15T10:00:01.700000+00:00,27.80002355328732,-82.49997337350635,44.540675222137914,4.0,15.0,2.0,150.0,50.0
18,2024-01-15T10:00:01.800000+00:00,27.800024861803283,-82.49997189425653,45.238939752088065,4.0,15.0,2.0,150.0,50.0
19,2024-01-15T10:00:01.900000+00:00,27.800026170319246,-82.4999704150067,44.39890544485458,4.0,15.0,2.0,150.0,50.0
20,2024-01-15T10:00:02+00:00,27.800027478835208,-82.49996893575685,44.82091117557429,4.0,15.0,2.0,150.0,50.0
21,2024-01-15T10:00:02.100000+00:00,27.80002878735117,-82.49996745650698,45.45110426474458,4.0,15.0,2.0,150.0,50.0
