detection_id,timestamp,class,confidence,lat,lon,depth,length_m,width_m,ping_start,ping_end,quality_flag
DET_000,2024-01-15T10:01:16.050000+00:00,ghost_net,0.68,27.801239206295122,-82.49978733854834,17.0,3.292,9.529,754,767,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_001,2024-01-15T10:01:20.550000+00:00,pipe,0.61,27.80117512448608,-82.49958507371888,17.0,2.058,12.646,792,819,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_002,2024-01-15T10:00:35.100000+00:00,debris,0.67,27.799614178910986,-82.49917128138694,17.0,5.35,4.755,338,364,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_003,2024-01-15T10:00:33.700000+00:00,pipe,0.9,27.799619860412427,-82.49922223382812,17.0,6.996,9.524,325,349,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_004,2024-01-15T10:00:54.200000+00:00,tire,0.94,27.80042506957912,-82.49951949316281,17.0,3.292,0.0,532,552,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_005,2024-01-15T10:00:21+00:00,tire,0.9,27.799880715617427,-82.49988470736236,17.0,4.116,8.356,204,216,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_006,2024-01-15T10:00:15.600000+00:00,tire,0.73,27.799486633957574,-82.49960313899697,17.0,7.82,6.602,144,168,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_007,2024-01-15T10:01:15.750000+00:00,pipe,0.62,27.800656664850962,-82.49914467804042,17.0,6.585,14.621,743,772,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_008,2024-01-15T10:00:40.200000+00:00,tire,0.7,27.80034227249961,-82.49983874163284,17.0,4.527,8.69,396,408,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
DET_009,2024-01-15T10:00:27.650000+00:00,ghost_net,0.69,27.8000670405364,-82.49990033974416,17.0,6.173,11.968,266,287,"LAYBACK_APPLIED,SLANT_RANGE_CORRECTED,GPS_VALID,ALTITUDE_VALID"
